Cluster,Population,MeanRMSD,currentEnergy min,currentEnergy 5-percentile,currentEnergy 25-percentile,currentEnergy mean,currentEnergy 75-percentile,currentEnergy 95-percentile,currentEnergy max,currentEnergy standard deviation,Binding Energy min,Binding Energy 5-percentile,Binding Energy 25-percentile,Binding Energy mean,Binding Energy 75-percentile,Binding Energy 95-percentile,Binding Energy max,Binding Energy standard deviation,sasaLig min,sasaLig 5-percentile,sasaLig 25-percentile,sasaLig mean,sasaLig 75-percentile,sasaLig 95-percentile,sasaLig max,sasaLig standard deviation,Selected labels
18,0.006489292667099286,0.983856872331885,-9885.46,-9880.035,-9875.587500000001,-9873.4395,-9870.8675,-9868.4505,-9867.06,3.6633611274347997,-25.5199,-25.214840000000002,-23.567375,-21.5418575,-19.636975,-16.523155,-14.9976,2.7342796095029764,0.0109098,0.01241136,0.019183475,0.03251249,0.045721525,0.056269709999999994,0.0588939,0.015409384759275759,-
3,0.07835820895522388,0.7136141311164279,-9894.58,-9890.167,-9884.985,-9880.97540372671,-9877.005,-9871.728,-9867.01,5.648411564448362,-35.8815,-34.187439999999995,-32.1997,-29.95789523809524,-28.25815,-24.381310000000003,-16.3517,3.080065630824181,0.000789236,0.008309999,0.012712049999999999,0.017881688252587992,0.0231349,0.02843233,0.0534148,0.006956612148937677,C
6,0.03731343283582089,0.8742908954966231,-9881.48,-9879.437,-9874.7625,-9872.652869565216,-9869.8625,-9867.8345,-9867.16,3.3830511736975586,-22.4433,-21.31878,-20.043025,-18.94548260869565,-18.002225,-16.231635000000004,-12.7518,1.5621066300107782,0.0330104,0.047139275,0.061830575,0.07392184130434783,0.085339075,0.1031684,0.112619,0.016543435303080403,-
20,0.005840363400389357,1.0072615409041636,-9878.73,-9877.8825,-9874.6375,-9872.139722222222,-9869.3475,-9867.465,-9867.02,3.32752117124164,-22.4441,-22.240125,-17.736275,-16.688575,-14.839625000000002,-12.85345,-10.5688,2.7036922806676182,0.0296094,0.033913874999999996,0.05823115,0.06608537777777779,0.0761878,0.0918168,0.111272,0.018528162353100196,-
0,0.3166774821544452,0.7223895877886045,-9897.19,-9885.44,-9881.4525,-9877.384549180328,-9873.387499999999,-9869.161,-9867.05,5.1954335444498065,-34.7955,-32.55386,-29.802500000000002,-27.36403473360656,-25.207324999999997,-22.048040000000004,-15.4554,3.2575095095970634,0.0,0.0019388310000000002,0.010310175,0.019212216607069673,0.02693885,0.038774704999999986,0.0592455,0.011267699389464815,A
2,0.1054510058403634,0.8661476054490628,-9886.54,-9880.844,-9877.2775,-9874.098046153847,-9870.550000000001,-9867.6225,-9866.99,4.222788582590229,-29.7008,-27.010949999999998,-25.14805,-22.84654046153846,-21.127225,-17.00063,-10.6541,3.0516902645043382,0.0225772,0.03531464,0.064678125,0.07616847861538462,0.0870822,0.11357025,0.137184,0.020938914333115698,-
8,0.019954574951330305,0.7006668541749621,-9886.13,-9883.726999999999,-9881.765,-9879.085284552846,-9877.119999999999,-9871.983,-9868.31,3.6189827716007614,-35.3247,-34.48092,-31.54635,-29.857765040650406,-28.469749999999998,-24.914450000000006,-18.4175,2.970998399596314,0.00475391,0.01227467,0.021759599999999997,0.025841478861788617,0.03012685,0.034816179999999995,0.0569493,0.007584804684120992,F
1,0.20149253731343283,0.7135626883749315,-9904.54,-9890.395499999999,-9885.1175,-9880.642318840579,-9875.7225,-9870.62,-9867.02,6.307397065903781,-34.6958,-33.053329999999995,-30.351824999999998,-29.01907560386473,-27.7192,-24.90984,-16.7875,2.460003843871091,0.0,0.0028190974999999997,0.00926755,0.018520705731078904,0.025155025,0.042005625000000005,0.0506753,0.01204311907403854,B
5,0.0390979883192732,0.8001396859537849,-9882.67,-9880.17,-9876.74,-9873.800248962658,-9870.68,-9867.93,-9867.05,3.8168575553416737,-27.3867,-25.3173,-23.8927,-22.314368464730293,-20.8533,-18.7245,-16.071,2.1220661151568327,0.00581804,0.00962789,0.0140105,0.0243933144813278,0.0322764,0.0480197,0.0621404,0.012139285975007026,-
4,0.04201817001946788,0.5886995713213922,-9891.35,-9887.401,-9880.01,-9877.038648648648,-9873.67,-9869.002999999999,-9867.18,4.9708483101865335,-30.7973,-29.73672,-28.0572,-26.18173590733591,-24.467550000000003,-21.430540000000004,-18.4475,2.5171851543994923,0.0,0.00748525,0.01385075,0.01827799718146718,0.021706700000000002,0.03082211,0.0439888,0.0069517993096967195,D
14,0.008760545100584036,0.8561979862361846,-9878.91,-9878.318000000001,-9875.467499999999,-9873.025370370371,-9870.505,-9868.701,-9867.64,3.006459535217538,-24.0713,-22.698845000000002,-20.859425,-19.338283333333333,-17.620325,-15.605805,-15.0537,2.166069610620941,0.0565451,0.062725035,0.08481654999999999,0.09627749259259259,0.10725375,0.12724285,0.129932,0.018167559971460443,-
26,0.001946787800129786,1.070927750244214,-9876.52,-9876.4375,-9873.449999999999,-9871.489166666666,-9868.91,-9868.6115,-9868.54,3.023161861179288,-26.7831,-26.5136,-24.145699999999998,-22.001525,-20.051125,-16.18047,-15.1809,3.4830215989197755,0.046014,0.04625435,0.051263325,0.065705125,0.07128395,0.09644558499999997,0.111623,0.0182210163271301,-
7,0.028066190785204413,0.7583545498831927,-9897.65,-9887.98,-9883.17,-9879.607572254334,-9876.41,-9869.682,-9867.08,5.4765018687815505,-37.199,-33.1641,-30.975,-28.60863583815029,-26.3899,-22.62106,-14.8491,3.518223876419973,0.00254315,0.008280978,0.0116022,0.019036152774566474,0.0208416,0.042777800000000005,0.0805462,0.011748871473616074,E
