epoch,trajectory,model,rotatable bond,value
1,5,1,1,14.162930361025234
1,5,1,2,-64.0950145541733
1,5,1,3,164.09142191812631
1,5,1,4,128.4948547150428
1,5,1,5,28.807598108187225
1,5,1,6,-11.083388744903942
1,5,2,1,31.704881167030177
1,5,2,2,-67.79453891494258
1,5,2,3,-177.53110203869753
1,5,2,4,153.6921460917665
1,5,2,5,28.355877622131576
1,5,2,6,-5.726841420719585
1,5,3,1,78.35353306845849
1,5,3,2,54.26529581665976
1,5,3,3,-174.39851858859546
1,5,3,4,179.69034443222964
1,5,3,5,17.607889665745457
1,5,3,6,3.2068366723899784
1,5,4,1,74.58298186662563
1,5,4,2,51.067178239457725
1,5,4,3,-178.92874625530413
1,5,4,4,-171.0576202584933
1,5,4,5,15.327787170606143
1,5,4,6,7.336322160074912
1,5,5,1,74.73919322790263
1,5,5,2,51.02206534057001
1,5,5,3,-178.9510659884266
1,5,5,4,-170.9777511087984
1,5,5,5,14.834988942160901
1,5,5,6,7.186792949624743
1,5,6,1,69.52494964537811
1,5,6,2,54.56977555865939
1,5,6,3,164.94606622952756
1,5,6,4,166.2325736619684
1,5,6,5,16.597394514002378
1,5,6,6,-4.062178815878179
1,5,7,1,73.683575814012
1,5,7,2,50.43672021190109
1,5,7,3,178.00213224690648
1,5,7,4,-169.2912114903603
1,5,7,5,12.500095751052113
1,5,7,6,4.907616171595171
1,5,8,1,75.97854713818549
1,5,8,2,49.84110854082281
1,5,8,3,-178.26342303349412
1,5,8,4,-168.72199711865517
1,5,8,5,13.317072508373498
1,5,8,6,7.148920403254422
0,1,1,1,-35.88336566862343
0,1,1,2,-170.18108644117558
0,1,1,3,-2.478649981567397
0,1,1,4,63.161594035235844
0,1,1,5,-54.19481577775906
0,1,1,6,176.27068905068634
0,1,2,1,-61.66994136302415
0,1,2,2,-23.510244445402968
0,1,2,3,-0.34183363850370263
0,1,2,4,-121.22120711828826
0,1,2,5,11.798765964517884
0,1,2,6,-171.54650419909967
0,1,3,1,-70.49022801438034
0,1,3,2,-25.269268604803305
0,1,3,3,-1.2217252787607853
0,1,3,4,-127.09495352691343
0,1,3,5,15.789297621978855
0,1,3,6,-168.87170421822188
0,1,4,1,10.834896699558811
0,1,4,2,-25.208020955431948
0,1,4,3,1.4672588738623504
0,1,4,4,-121.73992978312323
0,1,4,5,28.577150123779916
0,1,4,6,-173.8901512837281
0,1,5,1,19.01417867865244
0,1,5,2,-28.76988762735786
0,1,5,3,-4.745236471859673
0,1,5,4,-134.01216882608344
0,1,5,5,42.92620332254124
0,1,5,6,-169.05110064201023
0,1,6,1,116.04247441807932
0,1,6,2,-25.215522579605345
0,1,6,3,0.4099945780250777
0,1,6,4,-145.3653939181223
0,1,6,5,-177.07719550467183
0,1,6,6,-174.55872716686477
0,1,7,1,119.46027417476192
0,1,7,2,-18.0370091974256
0,1,7,3,1.396348402983131
0,1,7,4,-145.7017359993678
0,1,7,5,-163.45150286953407
0,1,7,6,-178.73654633219996
0,1,8,1,120.36863445286703
0,1,8,2,-13.693717867170493
0,1,8,3,2.091592361601854
0,1,8,4,-142.30450704299727
0,1,8,5,-170.64662791434802
0,1,8,6,176.72174250664014
0,1,9,1,122.21195522915912
0,1,9,2,-10.260929003403076
0,1,9,3,-0.4680248975553433
0,1,9,4,-138.64691016192933
0,1,9,5,-151.6419952701864
0,1,9,6,178.64664892197726
0,1,10,1,119.10557246378332
0,1,10,2,-3.3070996143576417
0,1,10,3,17.884922246556357
0,1,10,4,-137.43607495449115
0,1,10,5,-162.26117991273276
0,1,10,6,175.91779775406485
0,1,11,1,117.2830713210825
0,1,11,2,4.834112316698929
0,1,11,3,7.39475698183786
0,1,11,4,-137.4703217849862
0,1,11,5,-172.36269542071017
0,1,11,6,-7.043194376056144
0,1,12,1,119.91806661577
0,1,12,2,-4.24437626313061
0,1,12,3,6.45561808899934
0,1,12,4,-139.21320921484605
0,1,12,5,-162.01950427781932
0,1,12,6,-6.640235991751924
0,1,13,1,117.68501546939416
0,1,13,2,9.541707056000917
0,1,13,3,26.565684098591426
0,1,13,4,-138.7700195365055
0,1,13,5,-150.12899335741588
0,1,13,6,175.8727898287531
9,22,1,1,16.494287979250537
9,22,1,2,-65.19930194755945
9,22,1,3,-9.738939890314949
9,22,1,4,47.768341019482534
9,22,1,5,24.825893558406605
9,22,1,6,167.3966601123608
9,22,2,1,13.359609037515753
9,22,2,2,-69.37195623544882
9,22,2,3,-10.628578775079747
9,22,2,4,39.02240210928977
9,22,2,5,24.736326550235916
9,22,2,6,173.40482507104747
9,22,3,1,11.168732707329008
9,22,3,2,-69.10800311232038
9,22,3,3,-7.560793296820285
9,22,3,4,43.4092118074821
9,22,3,5,32.96085926245559
9,22,3,6,171.14388621703057
9,22,4,1,8.731067214985051
9,22,4,2,-70.40996604919746
9,22,4,3,-7.983167124190245
9,22,4,4,23.07326344639314
9,22,4,5,36.202694262149315
9,22,4,6,172.63896608068993
9,22,5,1,8.03766309974585
9,22,5,2,-70.47287600862701
9,22,5,3,-11.025704254547206
9,22,5,4,37.9164929289232
9,22,5,5,36.48738476438271
9,22,5,6,179.09027910242818
9,22,6,1,8.804251502647247
9,22,6,2,-65.87992722016816
9,22,6,3,-6.892735484820156
9,22,6,4,48.37007774911778
9,22,6,5,29.31773639112073
9,22,6,6,179.5169328356657
9,22,7,1,7.279371733052628
9,22,7,2,-66.30593789714837
9,22,7,3,-5.1948381487878175
9,22,7,4,51.49192297558928
9,22,7,5,29.642834257310568
9,22,7,6,-179.63870299588106
18,37,1,1,2.9275937410581623
18,37,1,2,-68.7921477106145
18,37,1,3,-0.5962596770547286
18,37,1,4,106.48639703552219
18,37,1,5,41.17706539747593
18,37,1,6,2.2840733200994348
18,37,2,1,9.140811472707606
18,37,2,2,-71.40914333578071
18,37,2,3,1.1158660322419414
18,37,2,4,101.20272797263277
18,37,2,5,46.40620947337955
18,37,2,6,-1.9181697939356592
18,37,3,1,13.883572237418953
18,37,3,2,-71.80280592589597
18,37,3,3,0.7258108554958029
18,37,3,4,94.93666179874094
18,37,3,5,47.65781772337437
18,37,3,6,-0.7168227877584555
18,37,4,1,14.171450222571911
18,37,4,2,-71.69410486177726
18,37,4,3,-0.21758318777294172
18,37,4,4,98.20218861433716
18,37,4,5,45.96807947942736
18,37,4,6,0.32124572457553874
18,37,5,1,14.370463948717276
18,37,5,2,-73.75259838805755
18,37,5,3,-0.04002431756753826
18,37,5,4,94.8614251561926
18,37,5,5,48.01006988116629
18,37,5,6,-0.10351637450668896
18,37,6,1,11.173795337633019
18,37,6,2,-74.14037071267231
18,37,6,3,0.42188778527764526
18,37,6,4,92.93337228143749
18,37,6,5,52.76225414404736
18,37,6,6,-3.7385654883785775
18,37,7,1,14.071182436010178
18,37,7,2,-73.45203941798262
18,37,7,3,0.40875544786028334
