Cluster,Population,MeanRMSD,currentEnergy min,currentEnergy 5-percentile,currentEnergy 25-percentile,currentEnergy mean,currentEnergy 75-percentile,currentEnergy 95-percentile,currentEnergy max,currentEnergy standard deviation,sasaLig min,sasaLig 5-percentile,sasaLig 25-percentile,sasaLig mean,sasaLig 75-percentile,sasaLig 95-percentile,sasaLig max,sasaLig standard deviation,Selected labels
23,0.01256913021618904,1.0186845508541609,-22.7781,-22.08032,-21.2949,-21.020335999999997,-20.6401,-19.96572,-19.9346,0.6434951448954376,0.95824,0.9643898,0.974106,0.9791237600000001,0.984963,0.989896,0.994828,0.008751481777527742,G
0,0.07139265962795374,1.0717371467368315,-24.2344,-23.8756,-22.586425,-21.746822535211265,-20.87335,-20.072935,-19.8331,1.0894933122880257,0.922681,0.9340119,0.948267,0.9690408661971831,0.9844275,0.99827735,1.00321,0.0210898095461615,A
1,0.021618903971845148,0.9700682136824905,-26.7462,-26.52432,-25.2601,-23.90781162790698,-22.80245,-20.62707,-20.1345,1.7699596826585868,0.953692,0.9630829,0.970294,0.9827686744186047,0.9958480000000001,1.002006,1.0064,0.014194980887821753,B
81,0.005530417295123178,0.9599236913672592,-23.6863,-23.2685,-22.39425,-21.735618181818182,-20.73735,-20.33705,-20.2571,1.0537103136649872,0.935822,0.941621,0.9723489999999999,0.9737311818181819,0.979425,0.996376,1.00702,0.017898335879060635,-
49,0.0030165912518853697,0.9257122099699334,-24.7015,-24.66405,-24.54195,-23.62333333333333,-22.6165,-21.743425000000002,-21.6365,1.2659825705312404,0.979788,0.980073,0.98291275,0.9888175000000001,0.9908410000000001,0.9992814999999999,1.00203,0.007363646192614083,-
193,0.0015082956259426848,0.6130692040410048,-22.2766,-22.22721,-22.029649999999997,-21.69583333333333,-21.40545,-21.10365,-21.0282,0.5133452401216511,0.947812,0.94908,0.954152,0.9615533333333333,0.968424,0.9747696,0.976356,0.011677180177118489,-
4,0.01860231271995978,1.0752792022964923,-23.8988,-23.84112,-22.7363,-21.873375675675675,-20.9854,-20.20158,-20.0936,1.113836200147795,0.9323,0.9362412,0.944983,0.969817135135135,0.992016,0.9975919999999999,1.00294,0.022384559691969827,D
19,0.006033182503770739,0.8533220412564938,-25.7384,-25.731469999999998,-24.529024999999997,-23.447816666666665,-22.358224999999997,-20.340805,-20.2236,1.7601723574853558,0.963854,0.9648033,0.96669125,0.97852775,0.9897295,0.99969245,1.00648,0.01355735969332402,-
2,0.0196078431372549,1.0007510232099033,-26.8625,-26.78719,-24.8706,-24.173284615384617,-23.1857,-21.43621,-20.8606,1.590316769693523,0.95537,0.9577994,0.9860355000000001,0.990348076923077,1.000815,1.0040390000000001,1.00854,0.013592954978420429,C
8,0.006033182503770739,0.8538562127698333,-22.9144,-22.909175,-22.538825000000003,-21.59488333333334,-21.056375,-20.32233,-20.1229,0.9045232518048146,0.927576,0.93093925,0.9474582500000001,0.9697710000000002,0.9926550000000001,0.999047,0.999212,0.0250457813214122,-
