Step,numberOfAcceptedPeleSteps,currentEnergy,sasaLig,epoch,trajectory,Cluster
0,0,-19.0793,1.0,,output/trajectory_1.pdb,-
1,1,-24.6197,0.99989,,output/trajectory_1.pdb,0
2,2,-24.6053,0.999198,,output/trajectory_1.pdb,-
3,3,-24.6031,0.999126,,output/trajectory_1.pdb,-
4,4,-24.5473,0.999524,,output/trajectory_1.pdb,-
5,5,-24.5434,0.999524,,output/trajectory_1.pdb,-
6,6,-24.5511,0.99908,,output/trajectory_1.pdb,-
7,7,-24.5796,0.997409,,output/trajectory_1.pdb,-
8,8,-24.5742,0.998154,,output/trajectory_1.pdb,-
9,9,-24.6911,0.998772,,output/trajectory_1.pdb,0
10,10,-24.7225,0.994684,,output/trajectory_1.pdb,0
11,11,-24.7828,0.996814,,output/trajectory_1.pdb,0
12,12,-24.762,0.995152,,output/trajectory_1.pdb,0
13,13,-24.6907,0.997123,,output/trajectory_1.pdb,0
14,14,-24.7154,0.996961,,output/trajectory_1.pdb,0
15,15,-24.6994,0.995494,,output/trajectory_1.pdb,0
16,16,-24.7401,0.994563,,output/trajectory_1.pdb,0
17,17,-24.8115,0.994249,,output/trajectory_1.pdb,0
18,18,-24.7741,0.994205,,output/trajectory_1.pdb,0
19,19,-24.7944,0.994856,,output/trajectory_1.pdb,0
20,20,-24.7943,0.994856,,output/trajectory_1.pdb,0
21,21,-24.7943,0.994856,,output/trajectory_1.pdb,0
22,22,-24.7943,0.994856,,output/trajectory_1.pdb,0
23,23,-24.7155,0.995819,,output/trajectory_1.pdb,0
24,24,-24.7788,0.995598,,output/trajectory_1.pdb,0
25,25,-24.8699,0.99297,,output/trajectory_1.pdb,0
26,26,-24.707,0.993434,,output/trajectory_1.pdb,0
27,27,-24.7213,0.994802,,output/trajectory_1.pdb,0
28,28,-24.7167,0.996183,,output/trajectory_1.pdb,0
29,29,-24.7736,0.993971,,output/trajectory_1.pdb,0
30,30,-24.752,0.99574,,output/trajectory_1.pdb,0
31,31,-24.7721,0.993689,,output/trajectory_1.pdb,0
32,32,-24.7648,0.99495,,output/trajectory_1.pdb,0
33,33,-24.7104,0.994879,,output/trajectory_1.pdb,0
34,34,-24.7608,0.993364,,output/trajectory_1.pdb,0
35,35,-24.7917,0.99194,,output/trajectory_1.pdb,0
36,36,-24.7884,0.99148,,output/trajectory_1.pdb,0
37,37,-24.8522,0.990486,,output/trajectory_1.pdb,0
38,38,-24.7128,0.99588,,output/trajectory_1.pdb,0
39,39,-24.786,0.993088,,output/trajectory_1.pdb,0
40,40,-24.7977,0.993088,,output/trajectory_1.pdb,0
41,41,-24.7979,0.994838,,output/trajectory_1.pdb,0
42,42,-24.7897,0.991115,,output/trajectory_1.pdb,0
43,43,-24.6997,0.992902,,output/trajectory_1.pdb,0
44,44,-24.8083,0.994076,,output/trajectory_1.pdb,0
45,45,-24.8666,0.993861,,output/trajectory_1.pdb,0
46,46,-24.8806,0.993441,,output/trajectory_1.pdb,0
47,47,-24.878,0.993531,,output/trajectory_1.pdb,0
48,48,-24.8603,0.99315,,output/trajectory_1.pdb,0
49,49,-24.8751,0.994215,,output/trajectory_1.pdb,0
50,50,-24.8551,0.99435,,output/trajectory_1.pdb,0
51,51,-24.8783,0.994874,,output/trajectory_1.pdb,0
52,52,-24.9266,0.996066,,output/trajectory_1.pdb,0
53,53,-24.8867,0.994616,,output/trajectory_1.pdb,0
54,54,-24.8862,0.99455,,output/trajectory_1.pdb,0
55,55,-24.8626,0.993986,,output/trajectory_1.pdb,0
56,56,-24.8438,0.9962,,output/trajectory_1.pdb,0
57,57,-24.8081,0.994016,,output/trajectory_1.pdb,0
58,58,-24.8321,0.993804,,output/trajectory_1.pdb,0
59,59,-24.8559,0.995096,,output/trajectory_1.pdb,0
60,60,-24.8497,0.994248,,output/trajectory_1.pdb,0
61,61,-24.8557,0.993923,,output/trajectory_1.pdb,0
62,62,-24.8338,0.993902,,output/trajectory_1.pdb,0
63,63,-24.8469,0.997225,,output/trajectory_1.pdb,0
64,64,-24.8668,0.998797,,output/trajectory_1.pdb,0
65,65,-24.7406,0.995173,,output/trajectory_1.pdb,0
66,66,-24.7325,0.99689,,output/trajectory_1.pdb,0
67,67,-24.6896,0.996824,,output/trajectory_1.pdb,0
68,68,-24.7321,0.996192,,output/trajectory_1.pdb,0
69,69,-24.6975,0.998148,,output/trajectory_1.pdb,0
70,70,-24.7532,0.997031,,output/trajectory_1.pdb,0
71,71,-24.7864,0.997209,,output/trajectory_1.pdb,0
72,72,-24.7904,0.997018,,output/trajectory_1.pdb,0
73,73,-24.7697,0.997833,,output/trajectory_1.pdb,0
74,74,-24.8,0.998533,,output/trajectory_1.pdb,0
75,75,-24.7769,0.999252,,output/trajectory_1.pdb,0
76,76,-24.8284,0.996137,,output/trajectory_1.pdb,0
77,77,-24.8284,0.996137,,output/trajectory_1.pdb,0
78,78,-24.8215,0.998387,,output/trajectory_1.pdb,0
79,79,-24.9061,0.99587,,output/trajectory_1.pdb,0
80,80,-24.8408,0.996478,,output/trajectory_1.pdb,0
81,81,-24.847,0.998088,,output/trajectory_1.pdb,0
82,82,-24.9703,0.995553,,output/trajectory_1.pdb,0
83,83,-24.7932,0.999253,,output/trajectory_1.pdb,0
84,84,-24.7907,0.999199,,output/trajectory_1.pdb,0
85,85,-24.8252,0.99962,,output/trajectory_1.pdb,0
86,86,-24.8171,0.998592,,output/trajectory_1.pdb,0
87,87,-24.8339,0.998548,,output/trajectory_1.pdb,0
88,88,-24.8143,0.999029,,output/trajectory_1.pdb,0
89,89,-24.8196,0.999188,,output/trajectory_1.pdb,0
90,90,-24.9358,0.997811,,output/trajectory_1.pdb,0
91,91,-24.9239,0.997811,,output/trajectory_1.pdb,0
92,92,-24.8666,0.998181,,output/trajectory_1.pdb,0
